,year_month,volume,product,uf,unit
0,2000-01,501.46,ETANOL HIDRATADO,AC,m3
1,2001-01,431.293,ETANOL HIDRATADO,AC,m3
2,2002-01,310.475,ETANOL HIDRATADO,AC,m3
3,2003-01,250.298,ETANOL HIDRATADO,AC,m3
4,2004-01,296.791,ETANOL HIDRATADO,AC,m3
5,2005-01,302.707,ETANOL HIDRATADO,AC,m3
6,2006-01,344.304,ETANOL HIDRATADO,AC,m3
7,2007-01,447.509,ETANOL HIDRATADO,AC,m3
8,2008-01,687.07,ETANOL HIDRATADO,AC,m3
9,2009-01,907.0,ETANOL HIDRATADO,AC,m3
10,2010-01,802.0,ETANOL HIDRATADO,AC,m3
11,2011-01,1011.01,ETANOL HIDRATADO,AC,m3
12,2012-01,453.0,ETANOL HIDRATADO,AC,m3
13,2013-01,448.0,ETANOL HIDRATADO,AC,m3
14,2014-01,575.0,ETANOL HIDRATADO,AC,m3
15,2015-01,408.0,ETANOL HIDRATADO,AC,m3
16,2016-01,799.0,ETANOL HIDRATADO,AC,m3
17,2017-01,671.8,ETANOL HIDRATADO,AC,m3
18,2018-01,618.21,ETANOL HIDRATADO,AC,m3
19,2019-01,544.5,ETANOL HIDRATADO,AC,m3
20,2020-01,662.639,ETANOL HIDRATADO,AC,m3
21,2000-02,453.62,ETANOL HIDRATADO,AC,m3
22,2001-02,386.539,ETANOL HIDRATADO,AC,m3
23,2002-02,305.591,ETANOL HIDRATADO,AC,m3
24,2003-02,316.076,ETANOL HIDRATADO,AC,m3
25,2004-02,296.274,ETANOL HIDRATADO,AC,m3
26,2005-02,264.717,ETANOL HIDRATADO,AC,m3
27,2006-02,317.695,ETANOL HIDRATADO,AC,m3
28,2007-02,345.895,ETANOL HIDRATADO,AC,m3
29,2008-02,571.319,ETANOL HIDRATADO,AC,m3
30,2009-02,845.0,ETANOL HIDRATADO,AC,m3
31,2010-02,406.47,ETANOL HIDRATADO,AC,m3
32,2011-02,894.013,ETANOL HIDRATADO,AC,m3
33,2012-02,413.0,ETANOL HIDRATADO,AC,m3
34,2013-02,475.0,ETANOL HIDRATADO,AC,m3
35,2014-02,467.015,ETANOL HIDRATADO,AC,m3
36,2015-02,339.0,ETANOL HIDRATADO,AC,m3
37,2016-02,673.5,ETANOL HIDRATADO,AC,m3
38,2017-02,609.5,ETANOL HIDRATADO,AC,m3
39,2018-02,574.411,ETANOL HIDRATADO,AC,m3
40,2019-02,470.0,ETANOL HIDRATADO,AC,m3
41,2020-02,603.672,ETANOL HIDRATADO,AC,m3
42,2000-03,676.23,ETANOL HIDRATADO,AC,m3
43,2001-03,428.339,ETANOL HIDRATADO,AC,m3
44,2002-03,394.513,ETANOL HIDRATADO,AC,m3
45,2003-03,350.266,ETANOL HIDRATADO,AC,m3
46,2004-03,282.111,ETANOL HIDRATADO,AC,m3
47,2005-03,259.81,ETANOL HIDRATADO,AC,m3
48,2006-03,293.353,ETANOL HIDRATADO,AC,m3
49,2007-03,403.668,ETANOL HIDRATADO,AC,m3
50,2008-03,646.751,ETANOL HIDRATADO,AC,m3
51,2009-03,957.0,ETANOL HIDRATADO,AC,m3
52,2010-03,517.004,ETANOL HIDRATADO,AC,m3
53,2011-03,880.5,ETANOL HIDRATADO,AC,m3
54,2012-03,492.5,ETANOL HIDRATADO,AC,m3
55,2013-03,477.0,ETANOL HIDRATADO,AC,m3
56,2014-03,43.0,ETANOL HIDRATADO,AC,m3
